3.7.79514.0;2020-09-09T07:59
3.7.79514.1;2020-09-09T08:07
3.7.79514.2;2020-09-09T08:07
3.7.79514.3;2020-09-09T08:07
3.7.79514.4;2020-09-09T08:08
3.7.79514.5;2020-09-09T08:08
3.7.79514.6;2020-09-09T08:08
3.7.79514.7;2020-09-09T08:09
3.7.79514.8;2020-09-09T08:10
3.7.79514.9;2020-09-09T08:10
3.7.79514.10;2020-09-09T08:10
3.7.79514.11;2020-09-09T08:10
3.7.79514.12;2020-09-09T08:11
3.7.79514.13;2020-09-09T08:13
3.7.79514.14;2020-09-09T08:14
3.7.79514.15;2020-09-09T08:16
3.7.79514.16;2020-09-09T08:17
3.7.79514.17;2020-10-01T07:26
3.7.79514.18;2020-10-21T10:34
